ID;Population;Livestock;Irrigation_area;Demand_population [mü/year];Demand_Livestock [mü/year];Demand_irrigation  [mü/year];Demand_total [mü/year]
Centre;3033000;283858,6992;2990;30997260;3626294,882;20930000;55553554,88
Boucle du Mouhoun;1898000;1131029,499;8782;19397560;14448901,84;61474000;95320461,84
Cascades;812062;721229,7391;0;8299273,64;9213709,917;0;17512983,56
Centre-Est;1578000;720595,4284;2990;16127160;9205606,597;20930000;46262766,6
Centre-Nord;1872000;816612,0996;4420;19131840;10432219,57;30940000;60504059,57
Centre-Ouest;1659000;1203625,345;2270;16954980;15376313,78;15890000;48221293,78
Centre-Sud;788341;515176,2105;1110;8056845,02;6581376,089;7770000;22408221,11
Est;1942000;1338991,185;4420;19847240;17105612,38;30940000;67892852,38
Hauts-Bassins;2238000;1755962,106;1160;22872360;22432415,9;8120000;53424775,9
Nord;1721000;733246,7717;26330;17588620;9367227,508;184310000;211265847,5
Plateau Central;977510;539122,7014;1750;9990152,2;6887292,511;12250000;29127444,71
Sahel;1094907;2220476,595;3400;11189949,54;28366588,51;23800000;63356538,05
Sud-Ouest;874030;541879,6552;540;8932586,6;6922512,595;3780000;19635099,2
;;;650;;;;
