ID;irrigation_2050_m3/y;lifestock_2050_m3/y;domestic_2050_m3/y;total_2050_m3/y
Centre;41860000;29291492,84;61994520;133146012,8
Boucle du Mouhoun;122948000;19431690,83;38795120;181174810,8
Cascades;0;7282750,242;16598547,28;23881297,52
Centre-Est;41860000;18245994,3;32254320;92360314,3
Centre-Nord;61880000;20556616,79;38263680;120700296,8
Centre-Ouest;31780000;30588772,8;33909960;96278732,8
Centre-Sud;15540000;13067328,47;16113690,04;44721018,51
Est;61880000;34844712,76;39694480;136419192,8
Hauts-Bassins;16240000;46740869,08;45744720;108725589,1
Nord;368620000;18310728,39;35177240;422107968,4
Plateau Central;24500000;13594186,23;19980304,4;58074490,63
Sahel;47600000;58322829,89;22379899,08;128302729
Sud-Ouest;7560000;14093608,49;17865173,2;39518781,69
