1,2,3,4,5,6,7,8,9,10,11,date
15.000,14.000,14.000,13.000,13.000,13.000,12.000,12.000,12.000,11.000,9999,        1 11977
11.000,10.000,10.000,10.000, 9.000, 9.000, 9.000, 9.000, 9.000, 9.000,9999,        2 11977
 9.000,10.000, 9.000, 9.000, 9.000, 8.000, 8.000, 8.000, 8.000, 8.000, 8.000,       3 11977
 8.000, 7.000, 7.000, 7.000, 7.000, 6.000, 6.000, 6.000, 6.000, 5.000,9999,        1 21977
 5.000, 5.000, 5.000, 5.000, 5.000, 5.000, 5.000, 5.000, 4.000, 4.000,9999,        2 21977
 4.000, 4.000, 4.000, 4.000, 4.000, 4.000, 4.000, 4.000, 9999, 9999, 9999,       3 21977
 3.000, 3.000, 3.000, 3.000, 3.000, 3.000, 3.000, 3.000, 3.000, 3.000,9999,        1 31977
 3.000, 3.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000,9999,        2 31977
 2.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000, 2.000,14.000,       3 31977
10.000, 4.000, 3.000, 2.000, 2.000, 2.000, 2.000, 1.000, 2.000, 2.000,9999,        1 41977
 2.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000,9999,        2 41977
 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 2.000, 2.000, 9999,       3 41977
 1.000, 1.000, 1.000, 1.000, 2.000, 2.000, 8.000, 3.000, 3.000, 2.000,9999,        1 51977
 3.000,15.000,15.000,12.000,15.000,12.000,10.000, 7.000,85.000,37.000,9999,        2 51977
29.000,26.000,39.000,51.000,41.000,27.000,24.000,22.000,29.000,26.000,23.000,       3 51977
20.000,18.000,15.000,19.000,18.000,20.000,39.000,49.000,42.000,46.000,9999,        1 61977
43.000,39.000,36.000,62.000,46.000,34.000,25.000,21.000,19.000,14.000,9999,        2 61977
11.000,10.000, 9.000, 9.000,11.000,11.000,30.000,49.000,53.000,65.000, 9999,       3 61977
72.000,73.000,73.000,78.000,81.000,63.000,55.000,54.000,46.000,36.000,9999,        1 71977
30.000,30.000,33.000,31.000,30.000,27.000,24.000,21.000,20.000,21.000,9999,        2 71977
41.000,74.000,87.000,87.000,87.000,84.000,79.000,84.000,87.000,82.000,74.000,       3 71977
63.000,54.000,46.000,41.000,41.000,42.000,41.000,40.000,61.000,64.000,9999,        1 81977
64.000,91.000,113.00,139.00,152.00,181.00,189.00,201.00,220.00,220.00,9999,       2 81977
220.00,220.00,220.00,214.00,203.00,258.00,331.00,327.00,329.00,339.00,341.00,      3 81977
339.00,332.00,400.00,401.00,409.00,439.00,457.00,472.00,473.00,478.00,9999,       1 91977
501.00,493.00,487.00,515.00,523.00,519.00,509.00,496.00,475.00,457.00,9999,       2 91977
440.00,423.00,410.00,396.00,377.00,355.00,334.00,324.00,292.00,280.00,9999,       3 91977
275.00,331.00,244.00,224.00,215.00,205.00,196.00,187.00,185.00,167.00,9999,        1101977
154.00,145.00,144.00,139.00,137.00,98.000,97.000,97.000,96.000,93.000,9999,        2101977
91.000,86.000,82.000,79.000,75.000,72.000,69.000,66.000,64.000,62.000,61.000,       3101977
59.000,58.000,57.000,56.000,55.000,54.000,53.000,52.000,52.000,51.000,9999,        1111977
50.000,50.000,49.000,47.000,45.000,43.000,42.000,37.000,34.000,32.000,9999,        2111977
29.000,26.000,23.000,22.000,20.000,18.000,17.000,16.000,13.000,15.000,9999,       3111977
14.000,14.000,13.000,13.000,12.000,12.000,12.000,11.000,11.000,11.000,9999,        1121977
10.000,10.000,10.000, 9.000, 9.000, 9.000, 9.000, 8.000, 8.000, 8.000,9999,        2121977
 8.000, 8.000, 8.000, 8.000, 8.000, 7.000, 7.000, 7.000, 7.000, 6.000, 7.000,       3121977
