# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-02-27
#
# GRDC-No.:              1531680
# River:                 DAKA
# Station:               EKUMDIPE
# Country:               GH
# Latitude (DD):       8.47
# Longitude (DD):      -0.22
# Catchment area (km²):      6810.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1531700
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1975-06 - 1996-09
# No. of years:          22
# Last update:           2018-06-05
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7779
# DATA
YYYY-MM-DD;hh:mm; Value
1975-06-01;--:--;      0.000
1975-06-02;--:--;      0.000
1975-06-03;--:--;      0.000
1975-06-04;--:--;      0.000
1975-06-05;--:--;      0.000
1975-06-06;--:--;      0.000
1975-06-07;--:--;      0.000
1975-06-08;--:--;      0.000
1975-06-09;--:--;      0.000
1975-06-10;--:--;      0.000
1975-06-11;--:--;      0.651
1975-06-12;--:--;      0.594
1975-06-13;--:--;      0.594
1975-06-14;--:--;      0.594
1975-06-15;--:--;      0.594
1975-06-16;--:--;      0.651
1975-06-17;--:--;      0.651
1975-06-18;--:--;      0.651
1975-06-19;--:--;      0.707
1975-06-20;--:--;      0.707
1975-06-21;--:--;      0.792
1975-06-22;--:--;      0.792
1975-06-23;--:--;      0.651
1975-06-24;--:--;      0.707
1975-06-25;--:--;      1.047
1975-06-26;--:--;      1.132
1975-06-27;--:--;      1.358
1975-06-28;--:--;      1.613
1975-06-29;--:--;      1.896
1975-06-30;--:--;      1.896
1975-07-01;--:--;      0.000
1975-07-02;--:--;      0.000
1975-07-03;--:--;      0.000
1975-07-04;--:--;      0.000
1975-07-05;--:--;      0.000
1975-07-06;--:--;      0.000
1975-07-07;--:--;      0.000
1975-07-08;--:--;      0.000
1975-07-09;--:--;      0.000
1975-07-10;--:--;      0.113
1975-07-11;--:--;      0.000
1975-07-12;--:--;      0.000
1975-07-13;--:--;      0.000
1975-07-14;--:--;      0.000
1975-07-15;--:--;      0.000
1975-07-16;--:--;      0.000
1975-07-17;--:--;      0.000
1975-07-18;--:--;      0.000
1975-07-19;--:--;      0.000
1975-07-20;--:--;      0.000
1975-07-21;--:--;      2.830
1975-07-22;--:--;      5.377
1975-07-23;--:--;      7.471
1975-07-24;--:--;      8.999
1975-07-25;--:--;      6.141
1975-07-26;--:--;      9.565
1975-07-27;--:--;     10.782
1975-07-28;--:--;     12.848
1975-07-29;--:--;     15.225
1975-07-30;--:--;     16.074
1975-07-31;--:--;     19.951
1975-08-01;--:--;   -999.000
1975-08-02;--:--;   -999.000
1975-08-03;--:--;   -999.000
1975-08-04;--:--;   -999.000
1975-08-05;--:--;   -999.000
1975-08-06;--:--;   -999.000
1975-08-07;--:--;   -999.000
1975-08-08;--:--;   -999.000
1975-08-09;--:--;   -999.000
1975-08-10;--:--;   -999.000
1975-08-11;--:--;   -999.000
1975-08-12;--:--;   -999.000
1975-08-13;--:--;   -999.000
1975-08-14;--:--;   -999.000
1975-08-15;--:--;   -999.000
1975-08-16;--:--;   -999.000
1975-08-17;--:--;   -999.000
1975-08-18;--:--;   -999.000
1975-08-19;--:--;   -999.000
1975-08-20;--:--;   -999.000
1975-08-21;--:--;   -999.000
1975-08-22;--:--;   -999.000
1975-08-23;--:--;   -999.000
1975-08-24;--:--;   -999.000
1975-08-25;--:--;   -999.000
1975-08-26;--:--;   -999.000
1975-08-27;--:--;   -999.000
1975-08-28;--:--;   -999.000
1975-08-29;--:--;   -999.000
1975-08-30;--:--;   -999.000
1975-08-31;--:--;   -999.000
1975-09-01;--:--;   -999.000
1975-09-02;--:--;   -999.000
1975-09-03;--:--;   -999.000
1975-09-04;--:--;   -999.000
1975-09-05;--:--;   -999.000
1975-09-06;--:--;   -999.000
1975-09-07;--:--;   -999.000
1975-09-08;--:--;   -999.000
1975-09-09;--:--;   -999.000
1975-09-10;--:--;   -999.000
1975-09-11;--:--;   -999.000
1975-09-12;--:--;   -999.000
1975-09-13;--:--;   -999.000
1975-09-14;--:--;   -999.000
1975-09-15;--:--;   -999.000
1975-09-16;--:--;   -999.000
1975-09-17;--:--;   -999.000
1975-09-18;--:--;   -999.000
1975-09-19;--:--;   -999.000
1975-09-20;--:--;   -999.000
1975-09-21;--:--;   -999.000
1975-09-22;--:--;   -999.000
1975-09-23;--:--;   -999.000
1975-09-24;--:--;   -999.000
1975-09-25;--:--;   -999.000
1975-09-26;--:--;   -999.000
1975-09-27;--:--;   -999.000
1975-09-28;--:--;   -999.000
1975-09-29;--:--;   -999.000
1975-09-30;--:--;   -999.000
1975-10-01;--:--;   -999.000
1975-10-02;--:--;   -999.000
1975-10-03;--:--;   -999.000
1975-10-04;--:--;   -999.000
1975-10-05;--:--;   -999.000
