# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-02-27
#
# GRDC-No.:              1931070
# River:                 BLACK VOLTA
# Station:               SAMANDENI
# Country:               BF
# Latitude (DD):       11.47
# Longitude (DD):      -4.47
# Catchment area (km²):      4580.0
# Altitude (m ASL):        296.0
# Next downstream station:      1931180
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1977-01 - 1983-12
# No. of years:          7
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2556
# DATA
YYYY-MM-DD;hh:mm; Value
1977-01-01;--:--;      2.000
1977-01-02;--:--;      2.000
1977-01-03;--:--;      2.000
1977-01-04;--:--;      2.000
1977-01-05;--:--;      2.000
1977-01-06;--:--;      2.000
1977-01-07;--:--;      2.000
1977-01-08;--:--;      2.000
1977-01-09;--:--;      2.000
1977-01-10;--:--;      2.000
1977-01-11;--:--;      2.000
1977-01-12;--:--;      2.000
1977-01-13;--:--;      2.000
1977-01-14;--:--;      2.000
1977-01-15;--:--;      2.000
1977-01-16;--:--;      2.000
1977-01-17;--:--;      2.000
1977-01-18;--:--;      2.000
1977-01-19;--:--;      2.000
1977-01-20;--:--;      2.000
1977-01-21;--:--;      2.000
1977-01-22;--:--;      2.000
1977-01-23;--:--;      2.000
1977-01-24;--:--;      2.000
1977-01-25;--:--;      2.000
1977-01-26;--:--;      2.000
1977-01-27;--:--;      2.000
1977-01-28;--:--;      2.000
1977-01-29;--:--;      2.000
1977-01-30;--:--;      2.000
1977-01-31;--:--;      2.000
1977-02-01;--:--;      2.000
1977-02-02;--:--;      2.000
1977-02-03;--:--;      2.000
1977-02-04;--:--;      2.000
1977-02-05;--:--;      2.000
1977-02-06;--:--;      2.000
1977-02-07;--:--;      2.000
1977-02-08;--:--;      2.000
1977-02-09;--:--;      2.000
1977-02-10;--:--;      2.000
1977-02-11;--:--;      2.000
1977-02-12;--:--;      2.000
1977-02-13;--:--;      2.000
1977-02-14;--:--;      2.000
1977-02-15;--:--;      2.000
1977-02-16;--:--;      2.000
1977-02-17;--:--;      2.000
1977-02-18;--:--;      2.000
1977-02-19;--:--;      2.000
1977-02-20;--:--;      2.000
1977-02-21;--:--;      2.000
1977-02-22;--:--;      2.000
1977-02-23;--:--;      2.000
1977-02-24;--:--;      2.000
1977-02-25;--:--;      2.000
1977-02-26;--:--;      2.000
1977-02-27;--:--;      2.000
1977-02-28;--:--;      2.000
1977-03-01;--:--;      2.000
1977-03-02;--:--;      2.000
1977-03-03;--:--;      2.000
1977-03-04;--:--;      2.000
1977-03-05;--:--;      2.000
1977-03-06;--:--;      2.000
1977-03-07;--:--;      2.000
1977-03-08;--:--;      2.000
1977-03-09;--:--;      2.000
1977-03-10;--:--;      2.000
1977-03-11;--:--;      2.000
1977-03-12;--:--;      2.000
1977-03-13;--:--;      2.000
1977-03-14;--:--;      2.000
1977-03-15;--:--;      2.000
1977-03-16;--:--;      2.000
1977-03-17;--:--;      2.000
1977-03-18;--:--;      2.000
1977-03-19;--:--;      2.000
1977-03-20;--:--;      1.000
1977-03-21;--:--;      1.000
1977-03-22;--:--;      1.000
1977-03-23;--:--;      1.000
1977-03-24;--:--;      1.000
1977-03-25;--:--;      1.000
1977-03-26;--:--;      1.000
1977-03-27;--:--;      1.000
1977-03-28;--:--;      1.000
1977-03-29;--:--;      1.000
1977-03-30;--:--;      1.000
1977-03-31;--:--;      1.000
1977-04-01;--:--;      1.000
1977-04-02;--:--;      1.000
1977-04-03;--:--;      1.000
1977-04-04;--:--;      1.000
1977-04-05;--:--;      1.000
1977-04-06;--:--;      1.000
1977-04-07;--:--;      1.000
1977-04-08;--:--;      1.000
1977-04-09;--:--;      1.000
1977-04-10;--:--;      1.000
1977-04-11;--:--;      1.000
1977-04-12;--:--;      1.000
1977-04-13;--:--;      1.000
1977-04-14;--:--;      1.000
1977-04-15;--:--;      1.000
1977-04-16;--:--;      2.000
1977-04-17;--:--;      2.000
1977-04-18;--:--;      2.000
1977-04-19;--:--;      2.000
1977-04-20;--:--;      2.000
1977-04-21;--:--;      2.000
1977-04-22;--:--;      2.000
1977-04-23;--:--;      2.000
1977-04-24;--:--;      2.000
1977-04-25;--:--;      2.000
1977-04-26;--:--;      2.000
1977-04-27;--:--;      2.000
1977-04-28;--:--;      2.000
1977-04-29;--:--;      2.000
1977-04-30;--:--;      2.000
1977-05-01;--:--;      2.000
1977-05-02;--:--;      2.000
1977-05-03;--:--;      2.000
1977-05-04;--:--;      2.000
1977-05-05;--:--;      2.000
1977-05-06;--:--;      2.000
1977-05-07;--:--;      3.000
1977-05-08;--:--;      3.000
1977-05-09;--:--;      2.000
1977-05-10;--:--;      2.000
1977-05-11;--:--;      2.000
1977-05-12;--:--;      2.000
1977-05-13;--:--;      3.000
1977-05-14;--:--;      5.000
1977-05-15;--:--;      6.000
1977-05-16;--:--;      3.000
1977-05-17;--:--;      2.000
1977-05-18;--:--;      2.000
1977-05-19;--:--;      3.000
1977-05-20;--:--;      2.000
1977-05-21;--:--;      2.000
1977-05-22;--:--;      3.000
1977-05-23;--:--;      4.000
1977-05-24;--:--;      3.000
1977-05-25;--:--;      2.000
