# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-02-27
#
# GRDC-No.:              1931400
# River:                 BLACK VOLTA
# Station:               DAPOLA
# Country:               BF
# Latitude (DD):       10.57
# Longitude (DD):      -2.92
# Catchment area (km²):      66540.0
# Altitude (m ASL):        228.0
# Next downstream station:      1931475
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1977-01 - 1977-12
# No. of years:          1
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 365
# DATA
YYYY-MM-DD;hh:mm; Value
1977-01-01;--:--;     15.000
1977-01-02;--:--;     14.000
1977-01-03;--:--;     14.000
1977-01-04;--:--;     13.000
1977-01-05;--:--;     13.000
1977-01-06;--:--;     13.000
1977-01-07;--:--;     12.000
1977-01-08;--:--;     12.000
1977-01-09;--:--;     12.000
1977-01-10;--:--;     11.000
1977-01-11;--:--;     11.000
1977-01-12;--:--;     10.000
1977-01-13;--:--;     10.000
1977-01-14;--:--;     10.000
1977-01-15;--:--;      9.000
1977-01-16;--:--;      9.000
1977-01-17;--:--;      9.000
1977-01-18;--:--;      9.000
1977-01-19;--:--;      9.000
1977-01-20;--:--;      9.000
1977-01-21;--:--;      9.000
1977-01-22;--:--;     10.000
1977-01-23;--:--;      9.000
1977-01-24;--:--;      9.000
1977-01-25;--:--;      9.000
1977-01-26;--:--;      8.000
1977-01-27;--:--;      8.000
1977-01-28;--:--;      8.000
1977-01-29;--:--;      8.000
1977-01-30;--:--;      8.000
1977-01-31;--:--;      8.000
1977-02-01;--:--;      8.000
1977-02-02;--:--;      7.000
1977-02-03;--:--;      7.000
1977-02-04;--:--;      7.000
1977-02-05;--:--;      7.000
1977-02-06;--:--;      6.000
1977-02-07;--:--;      6.000
1977-02-08;--:--;      6.000
1977-02-09;--:--;      6.000
1977-02-10;--:--;      5.000
1977-02-11;--:--;      5.000
1977-02-12;--:--;      5.000
1977-02-13;--:--;      5.000
1977-02-14;--:--;      5.000
1977-02-15;--:--;      5.000
1977-02-16;--:--;      5.000
1977-02-17;--:--;      5.000
1977-02-18;--:--;      5.000
1977-02-19;--:--;      4.000
1977-02-20;--:--;      4.000
1977-02-21;--:--;      4.000
1977-02-22;--:--;      4.000
1977-02-23;--:--;      4.000
1977-02-24;--:--;      4.000
1977-02-25;--:--;      4.000
1977-02-26;--:--;      4.000
1977-02-27;--:--;      4.000
1977-02-28;--:--;      4.000
1977-03-01;--:--;      3.000
1977-03-02;--:--;      3.000
1977-03-03;--:--;      3.000
1977-03-04;--:--;      3.000
1977-03-05;--:--;      3.000
1977-03-06;--:--;      3.000
1977-03-07;--:--;      3.000
1977-03-08;--:--;      3.000
1977-03-09;--:--;      3.000
1977-03-10;--:--;      3.000
1977-03-11;--:--;      3.000
1977-03-12;--:--;      3.000
1977-03-13;--:--;      2.000
1977-03-14;--:--;      2.000
1977-03-15;--:--;      2.000
1977-03-16;--:--;      2.000
1977-03-17;--:--;      2.000
1977-03-18;--:--;      2.000
1977-03-19;--:--;      2.000
1977-03-20;--:--;      2.000
1977-03-21;--:--;      2.000
1977-03-22;--:--;      2.000
1977-03-23;--:--;      2.000
1977-03-24;--:--;      2.000
1977-03-25;--:--;      2.000
1977-03-26;--:--;      2.000
1977-03-27;--:--;      2.000
1977-03-28;--:--;      2.000
1977-03-29;--:--;      2.000
1977-03-30;--:--;      2.000
1977-03-31;--:--;     14.000
1977-04-01;--:--;     10.000
1977-04-02;--:--;      4.000
1977-04-03;--:--;      3.000
1977-04-04;--:--;      2.000
1977-04-05;--:--;      2.000
1977-04-06;--:--;      2.000
1977-04-07;--:--;      2.000
1977-04-08;--:--;      1.000
1977-04-09;--:--;      2.000
1977-04-10;--:--;      2.000
1977-04-11;--:--;      2.000
1977-04-12;--:--;      1.000
1977-04-13;--:--;      1.000
1977-04-14;--:--;      1.000
