MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 11977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2 11977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3 11977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 21977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2 21977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 9999. 9999. 9999.       3 21977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 31977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000             2 31977
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 31977
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 41977
 1.000 1.000 1.000 1.000 1.000 2.000 2.000 2.000 2.000 2.000             2 41977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 9999.       3 41977
 2.000 2.000 2.000 2.000 2.000 2.000 3.000 3.000 2.000 2.000             1 51977
 2.000 2.000 3.000 5.000 6.000 3.000 2.000 2.000 3.000 2.000             2 51977
 2.000 3.000 4.000 3.000 2.000 2.000 2.000 2.000 3.000 3.000 2.000       3 51977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 61977
 3.000 4.000 4.000 3.000 5.000 8.000 9.000 9.000 7.000 4.000             2 61977
 3.000 3.000 2.000 2.000 3.000 3.000 4.000 7.000 8.000 7.000 9999.       3 61977
 4.000 7.000 8.000 9.000 8.000 6.000 4.000 4.000 4.000 3.000             1 71977
 4.000 4.000 3.000 3.000 3.000 6.000 8.000 7.000 4.000 2.000             2 71977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 3.000 6.000 9.000 9.000       3 71977
 8.000 8.000 8.000 9.000 7.000 7.000 8.000 8.000 7.000 7.000             1 81977
10.00011.00012.00012.00012.00012.00013.00013.00013.00013.000             2 81977
13.00016.00019.00017.00016.00019.00020.00021.00026.00029.00030.000       3 81977
32.00042.00040.00038.00038.00037.00036.00036.00035.00036.000             1 91977
38.00038.00038.00040.00042.00042.00042.00042.00041.00040.000             2 91977
40.00040.00039.00039.00039.00039.00039.00038.00036.00034.000 9999.       3 91977
31.00029.00026.00024.00023.00022.00021.00021.00020.00020.000             1101977
19.00019.00018.00017.00016.00014.00014.00013.00012.00011.000             2101977
11.00010.00010.000 9.000 9.00010.00010.000 9.000 9.000 8.000 7.000       3101977
 7.000 6.000 5.000 3.000 4.000 4.000 4.000 4.000 4.000 4.000             1111977
 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000             2111977
 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000 3.000 9999. 9999.       3111977
 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000             1121977
 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000             2121977
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3121977
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999. 9999.       3 21978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 31978
 1.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2 31978
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3 31978
 9999. 9999. 9999. 9999. 9999. 9999. 2.000 2.000 1.000 1.000             1 41978
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2 41978
 2.000 2.000 2.000 2.000 2.000 2.000 4.000 5.000 2.000 3.000 9999.       3 41978
 5.000 5.000 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000             1 51978
 1.000 1.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000             2 51978
 1.000 1.000 1.000 1.000 2.000 1.000 3.000 2.000 3.000 2.000 2.000       3 51978
 2.000 4.000 3.000 2.000 1.000 2.000 2.000 2.000 2.000 1.000             1 61978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 2.000 2.000 1.000             2 61978
 1.000 3.000 3.000 2.000 2.000 4.000 5.000 5.000 5.000 9999. 9999.       3 61978
 5.000 5.000 3.000 2.000 3.000 5.000 6.000 4.000 3.000 5.000             1 71978
 7.000 7.000 6.000 7.000 8.000 9.00010.00011.00012.00013.000             2 71978
13.00013.00013.00012.00012.00011.00011.00012.00013.00013.00013.000       3 71978
12.00013.00014.00014.00014.00015.00015.00016.00018.00020.000             1 81978
20.00021.00020.00019.00019.00018.00019.00021.00023.00024.000             2 81978
25.00025.00025.00025.00025.00024.00024.00025.00026.00028.00030.000       3 81978
31.00031.00032.00032.00031.00030.00030.00029.00029.00029.000             1 91978
29.00029.00029.00029.00029.00034.00035.00036.00037.00037.000             2 91978
37.00039.00040.00042.00045.00047.00049.00052.00059.00067.000 9999.       3 91978
70.00070.00067.00061.00061.00057.00054.00052.00050.00052.000             1101978
49.00046.00042.00037.00032.00028.00025.00022.00020.00019.000             2101978
18.00018.00017.00017.00017.00017.00017.00016.00016.00015.00014.000       3101978
13.00012.00012.00011.00011.00011.00011.00010.00010.000 9.000             1111978
 9.000 8.000 8.000 8.000 7.000 7.000 7.000 6.000 6.000 6.000             2111978
 5.000 5.000 5.000 5.000 5.000 4.000 4.000 5.000 4.000 4.000 9999.       3111978
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000             1121978
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000             2121978
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000       3121978
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000             1 11979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21979
 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.             2 41979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 41979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 51979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             2 51979
 9999. 9999. 9999. 9999. 0.000 9999. 9999. 9999. 3.000 5.000 5.000       3 51979
18.00016.00018.00014.00013.00013.00012.00011.00011.00012.000             1 61979
